Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Year,Spotify Streams (Millions)
GENTO,Gento,SB19,2023-05-19,"1,631",36.2,44345269.0,4379.0,1586804.0,58.0,2023,44.345269
Us Vs Them,Us Vs. Them,$uicideboy$,2024-03-29,"1,545",37.4,44027794.0,7604.0,6627187.0,,2024,44.027794
Loosing interest,Missing,Kurochuu,2024-06-09,"1,419",39.2,43492280.0,2.0,2190.0,4.0,2024,43.49228
Saami Saami,"Saami Saami (From ""Pushpa - The Rise Part - 01"") - Single",Mounika Yadav,2021-10-28,608,61.4,43286859.0,3192.0,1364915.0,49.0,2021,43.286859
Kurchi Madathapetti,"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single",Thaman S,2023-12-30,"1,777",34.6,43280156.0,1397.0,2069274.0,,2023,43.280156
"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION,2022-06-10,"1,979",32.4,42993944.0,14476.0,4616378.0,58.0,2022,42.993944
Dreaming,Dreaming,Marshmello,2023-10-20,"1,716",35.3,42151775.0,8420.0,9908087.0,,2023,42.151775
LA DURANGO,LA DURANGO,Peso Pluma,2024-05-09,"1,447",38.6,42032763.0,2684.0,48467220.0,79.0,2024,42.032763
Miles On It,Miles on It,Marshmello,2024-05-03,992,48.2,41924126.0,3794.0,124369916.0,79.0,2024,41.924126
GATITAS SANDUNGUERAS VOL.1,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,2024-05-16,"1,946",32.7,41517704.0,2895.0,85480305.0,79.0,2024,41.517704
Lehanga,Lehanga,Jass Manak,2019-07-25,"1,305",41.2,41063045.0,297.0,35247.0,,2019,41.063045
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) - Single,Pharrell Williams,2024-03-01,"1,435",38.9,40447209.0,4358.0,14370644.0,,2024,40.447209
Oh No,Cold As Ice,Kreepa,2019-12-13,473,70.6,40284121.0,14548.0,3212878.0,41.0,2019,40.284121
Bandook,Bandook,Nirvair Pannu,2020-05-30,740,56.4,40178056.0,5825.0,638204.0,54.0,2020,40.178056
"QUï¿½ï¿½TENME EL TELï¿½ï¿½FONO (feat. Yandel, Jay ",The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,"1,919",33.0,39876490.0,5502.0,29909107.0,70.0,2024,39.87649
Get In With Me,Get In With Me - Single,Bossman Dlow,2024-01-19,818,53.6,39401314.0,7442.0,18628678.0,,2024,39.401314
